YBL072C,YGR118W
YGR118W,YMR143W
YGR118W,YOR369C
YGR027C,YGR118W
YBL072C,YIL069C
YIL069C,YMR143W
YER074W,YML026C
YER074W,YJR123W
YER074W,YGR214W
YER074W,YLR150W
YIL069C,YOR369C
YGR027C,YIL069C
YBR181C,YLR287C-A
YBR181C,YOR182C
YGR214W,YLR287C-A
YGR214W,YOR182C
YLR287C-A,YLR441C
YOR182C,YOR369C
YLR287C-A,YOR167C
YBL072C,YHR203C
YJR145C,YML026C
YJR123W,YJR145C
YHR203C,YOR096W
YJR145C,YLR150W
YGL189C,YJR145C
YGR027C,YHR203C
YBR181C,YDL083C
YBR181C,YKL156W
YBR181C,YOR293W
YDL083C,YER102W
YBL072C,YDR450W
YBL072C,YGL123W
YER102W,YLR388W
YBL072C,YOL040C
YDL184C,YER117W
YER117W,YGL030W
YER117W,YHL033C
YBL087C,YIL133C
YBL087C,YER056C-A
YDL082W,YER117W
YBR084C-A,YFR031C-A
YBR031W,YIL018W
YIL018W,YOR063W
YFR031C-A,YPL131W
YDR025W,YML026C
YDR025W,YJR123W
YDR025W,YGR214W
YBR048W,YLR441C
YDR025W,YLR150W
YBR048W,YGR027C
YBR048W,YOR167C
YBR084C-A,YNL301C
YBR031W,YOL120C
YNL301C,YPL131W
YKL006W,YOL120C
YLR185W,YNL301C
YDR450W,YMR143W
YDL083C,YOR096W
YMR143W,YOR096W
YKL156W,YMR143W
YLR441C,YML026C
YHL015W,YML026C
YDR450W,YGL189C
YDR450W,YOR369C
YML026C,YOR167C
YBR084C-A,YDL136W
YBR084C-A,YDL184C
YBL027W,YOR063W
YBR084C-A,YLR325C
YBL027W,YBR191W
YDL184C,YDL191W
YDL136W,YOR063W
YDL191W,YOR063W
YDL082W,YDL191W
YDL184C,YPL131W
YBL092W,YDL133C-A
YDL133C-A,YLR185W
YBR031W,YML073C
YBL092W,YGL030W
YGL030W,YLR185W
YBL092W,YHL033C
YHL033C,YLR185W
YBR154C,YJL140W
YHR143W-A,YJL140W
YBR154C,YOR224C
YBR154C,YOL005C
YBR154C,YHR143W-A
YHR143W-A,YOR224C
YGL070C,YOR210W
YDR404C,YOR210W
YOL005C,YOR210W
YER012W,YOR157C
YGL123W,YOR096W
YER094C,YFR050C
YER094C,YMR314W
YER094C,YLR199C
YLR325C,YPL131W
YML073C,YPL131W
YDL082W,YPL131W
YJR123W,YLR441C
YHL015W,YJR123W
YBR191W,YIL133C
YGR214W,YOR293W
YHR041C,YHR058C
YKL156W,YOR369C
YER056C-A,YKL006W
YKL006W,YML073C
YHL015W,YLR150W
YGL189C,YGR027C
YLR075W,YLR185W
YER056C-A,YLR075W
YOL040C,YOR369C
YLR185W,YLR325C
YBR191W,YER056C-A
YGR027C,YOL040C
YDR064W,YPL081W
YLR167W,YPL081W
YBL072C,YPL081W
YGR027C,YPL081W
Q0105,YJR048W
YEL024W,YFR033C
Q0105,YPR191W
YBR084C-A,YGL103W
YGL103W,YIL133C
YLR287C-A,YML024W
YBR048W,YML024W
YJR123W,YML024W
YML024W,YOR096W
YGL189C,YML024W
YDL140C,YMR112C
YFR032C-A,YGL031C
YGL031C,YHR010W
YGL031C,YIL148W
YGL031C,YOR312C
YGL031C,YJR094W-A
YBL087C,YGL031C
YGL031C,YPL131W
