PROTEIN_U,PROTEIN_V,PUBMED
YKL022C,YNL172W,16364911
YDR080W,YDR495C,21325627
YJR009C,YPL240C,25452130
YCR086W,YDL089W,18997772
YBR055C,YGR094W,11805837
YJL190C,YLR074C,31062022
YOR293W,YPR102C,31062022
YAL005C,YDR418W,25452130
YFR004W,YHR027C,21627799
YDR190C,YKL182W,26831523
YAL005C,YGR071C,19536198
YDR212W,YJL173C,19536198
YBR009C,YOL121C,31062022
YJL070C,YML035C,18719252
YGR270W,YPR190C,19106085
YHR135C,YJR092W,16319894
YIL021W,YOR210W,22067100
YJR127C,YNL209W,19536198
YFR046C,YIR010W,27524485
YLR257W,YPL106C,19536198
YFR053C,YLR293C,11805837
YGR104C,YNL236W,16554755
YMR022W,YPL253C,14690591
YLR422W,YOL108C,11071933
YBL081W,YBL081W,19345193
YBR069C,YER110C,11805826
YIL021W,YOL005C,22067100
YDR150W,YDR488C,22431751
YER022W,YLR071C,28575439
YGL244W,YOR123C,12242279
YHR105W,YPL246C,10688190
YLR229C,YOR127W,7498791
YFL002C,YOR063W,16429126
YGL115W,YKL193C,11805837
YBR118W,YIL064W,20510667
YBR272C,YDR394W,19217412
YHR027C,YPR108W,9584156
YGL130W,YPL228W,18719252
YHL030W,YOR117W,16284124
YGL181W,YPL156C,11283351
YIR010W,YMR117C,14565975
YFL008W,YLR259C,11805837
YCL033C,YLR090W,19536198
YBL016W,YDL159W,16364919
YDR449C,YJL069C,25501974
YJL109C,YNL061W,29263326
YDL148C,YOR310C,12150911
YGR233C,YPR049C,18719252
YGR027C,YOR117W,18757749
YHR020W,YNL178W,31062022
YBR169C,YNL102W,19536198
YJR068W,YOL094C,8995429
YGL030W,YNL175C,16429126
YBR160W,YDL230W,26715668
YOR326W,YPR155C,22875988
YHR027C,YOR046C,18757749
YEL030W,YMR273C,19536198
YGR033C,YNR017W,15797382
YCR028C,YML072C,18467557
YHR200W,YLR060W,18757749
YGL099W,YOL121C,31062022
YER143W,YOL018C,12925750
YML122C,YMR022W,14690591
YGR284C,YHR140W,16093310
YAL005C,YDR392W,19536198
YBR198C,YER148W,12052880
YGR200C,YKL110C,23468660
YGL099W,YPL169C,23142978
YKL126W,YOL078W,20489023
YBR283C,YGR284C,16093310
YOR341W,YPR187W,14759368
YJL010C,YKL117W,15633294
YLR276C,YOL121C,31062022
YGR200C,YPL086C,11805826
YOR206W,YPL081W,31062022
YML125C,YPR190C,28096404
YDR244W,YGR077C,12667447
YBR198C,YGL066W,12052880
YDL209C,YDL229W,19536198
YER012W,YFR050C,11029046
YCR072C,YHR122W,14690591
YEL037C,YHL025W,17013386
YBL090W,YPL013C,16429126
YBR198C,YDR167W,11533254
YLR347C,YOR098C,9182759
YDR362C,YER025W,30593915
YBR251W,YGL107C,32877643
YHR165C,YJR022W,10747033
YJL039C,YOR369C,31062022
YGL051W,YHR135C,16319894
YBL021C,YBL075C,11805837
YJR091C,YNL214W,11283351
YJR045C,YOR232W,9367739
YIL148W,YPL146C,29176610
YDR108W,YKR068C,11805826
YDR416W,YKL095W,10688190
YDR091C,YER161C,11805837
YBR065C,YKL095W,28919079
YGL116W,YKL101W,10848588
YGR252W,YOL004W,21734642
YJL095W,YJL179W,19536198
YHR197W,YML024W,31062022
YEL071W,YFR004W,20170199
YLR447C,YOR181W,11805837
YCR106W,YJL096W,11283351
YGR103W,YLR009W,23268442
YDR260C,YHR166C,12609981
YBR009C,YBR245C,22199229
YMR167W,YNL082W,34390347
YNL189W,YPL061W,11805837
YGL066W,YMR236W,25216679
YDL042C,YLR223C,23973296
YJL106W,YMR001C,19013276
YKR081C,YLR249W,21926967
YBR010W,YNL312W,22199229
YKR081C,YOR294W,12048200
YER094C,YOL038W,16429126
YBR105C,YIL097W,16554755
YFL038C,YLL039C,16554755
YFR015C,YGL081W,11805837
YDR229W,YPL174C,22875988
YKR008W,YOL135C,28575439
YER074W,YHL034C,16429126
YGL123W,YKL126W,31062022
YBR160W,YDL014W,24374311
YDL229W,YJR017C,19536198
YHL010C,YKR031C,22875988
YGR214W,YNR023W,31062022
YLR409C,YOR001W,31662437
YJL128C,YPL153C,16319894
YNR065C,YOR085W,16093310
YDR495C,YLR396C,23840658
YJR045C,YKR048C,11805826
YGL150C,YIL021W,34543624
YGR214W,YPL240C,31062022
YIL004C,YPR181C,23904270
YLR106C,YNL186W,22902402
YJL128C,YLR362W,15200959
YIL076W,YJL008C,19536198
YDL136W,YGL099W,23907389
YDR448W,YGR252W,19218239
YGR235C,YNL100W,22918945
YGL019W,YKL088W,16554755
YKL074C,YOR159C,34349264
YBR103W,YPL106C,19536198
YMR095C,YMR096W,10688190
YDR244W,YLR191W,12453410
YDR280W,YHR069C,12837249
YDR225W,YML093W,22199229
YML088W,YML088W,14747994
YDR228C,YJR045C,11805837
YDR034C,YDR438W,11283351
YBR261C,YOR108W,18719252
YOL067C,YPL106C,19536198
YFR004W,YLR300W,20170199
YER048C,YPR189W,19536198
YCR052W,YPR034W,16554755
YML010W,YNL248C,12556496
YGR254W,YOL062C,11805837
YGR270W,YOR341W,19106085
YGR005C,YIL021W,34543624
YGR234W,YPL164C,33199619
YIR022W,YMR238W,28183979
YJL138C,YJR140C,16554755
YDR507C,YPL158C,28148650
YFR022W,YLL024C,19536198
YHR133C,YNL279W,16093310
YCR012W,YHR027C,18757749
YBL105C,YHR070W,16554755
YJR072C,YNL002C,29557065
YGR281W,YNL154C,23831759
YGR055W,YPL240C,15879519
YHL002W,YLR167W,12055639
YGR089W,YOR329C,22875988
YMR290C,YOR056C,16554755
YBR009C,YDL070W,11805826
YOR251C,YPL031C,16319894
YDL208W,YNL124W,11283351
YFL026W,YFL026W,22268895
YAL005C,YML059C,19536198
YDL229W,YDR337W,19536198
YDL229W,YNL273W,19536198
YBR001C,YDL077C,25026036
YFR002W,YIL149C,24500206
YNL131W,YNR017W,30463002
YGR218W,YNR034W,26673895
YER148W,YGR274C,8662725
YBR081C,YBR198C,16429126
YGL076C,YNL209W,23332755
YFR004W,YOL097C,20170199
