INFLATION,N_EDGES,METHOD,XVAL_ITER,DENS_THRESH,MATCH_THRESH,N_CLUSTERS,PREC_NUM,RECALL_NUM,PREC,RECALL,F_SCORE
4,20k_edges,TOPO_GO,0,0.0,0.5,600,59,64,0.10535714285714286,0.47761194029850745,0.1726329264389887
4,20k_edges,TOPO_GO,0,0.0,0.75,600,14,15,0.023529411764705882,0.11194029850746269,0.03888528839922229
4,20k_edges,TOPO_CO_EXP,0,0.0,0.5,517,15,15,0.029585798816568046,0.11194029850746269,0.04680187207488299
4,20k_edges,TOPO_CO_EXP,0,0.0,0.75,517,3,3,0.005802707930367505,0.022388059701492536,0.009216589861751152
4,20k_edges,TOPO_CO_EXP,0,0.0,0.5,517,15,15,0.029585798816568046,0.11194029850746269,0.04680187207488299
4,20k_edges,TOPO_CO_EXP,0,0.0,0.75,517,3,3,0.005802707930367505,0.022388059701492536,0.009216589861751152
4,20k_edges,TOPO_GO_CO_EXP,0,0.0,0.5,662,48,52,0.07754442649434572,0.3880597014925373,0.1292594510616261
4,20k_edges,TOPO_GO_CO_EXP,0,0.0,0.75,662,11,12,0.016793893129770993,0.08955223880597014,0.02828369402185558
4,20k_edges,CNB,0,0.0,0.5,1026,64,69,0.06772486772486773,0.5149253731343284,0.11970561526680311
4,20k_edges,CNB,0,0.0,0.75,1026,16,16,0.01579466929911155,0.11940298507462686,0.02789886660854403
4,20k_edges,RF,0,0.0,0.5,955,77,85,0.09005847953216374,0.6343283582089553,0.15772414540985386
4,20k_edges,RF,0,0.0,0.75,955,26,26,0.027807486631016044,0.19402985074626866,0.04864359214218896
4,20k_edges,MLP,0,0.0,0.5,868,75,81,0.0946969696969697,0.6044776119402985,0.16374221719091128
4,20k_edges,MLP,0,0.0,0.75,868,32,33,0.037383177570093455,0.2462686567164179,0.0649127120727809
4,20k_edges,SWC,0,0.0,0.5,859,75,80,0.09615384615384616,0.5970149253731343,0.16563146997929606
4,20k_edges,SWC,0,0.0,0.75,859,21,21,0.024764150943396228,0.15671641791044777,0.04276985743380855
4,all_edges,TOPO,1,0.0,0.5,386,41,45,0.11420612813370473,0.3358208955223881,0.17044667190170448
4,all_edges,TOPO,1,0.0,0.75,386,9,10,0.02368421052631579,0.07462686567164178,0.035956851777866554
4,all_edges,TOPO_L2,1,0.0,0.5,630,1,1,0.0015873015873015873,0.007462686567164179,0.0026178010471204186
4,all_edges,TOPO_L2,1,0.0,0.75,630,0,0,0.0,0.0,0.0
4,all_edges,STRING,1,0.0,0.5,1044,19,20,0.018536585365853658,0.14925373134328357,0.03297752321444068
4,all_edges,STRING,1,0.0,0.75,1044,1,1,0.0009578544061302681,0.007462686567164179,0.001697792869269949
4,all_edges,CO_OCCUR,1,0.0,0.5,815,33,35,0.04182509505703422,0.26119402985074625,0.07210412960014982
4,all_edges,CO_OCCUR,1,0.0,0.75,815,10,10,0.012330456226880395,0.07462686567164178,0.021164021164021163
4,all_edges,REL,1,0.0,0.5,868,31,34,0.036860879904875146,0.2537313432835821,0.0643703432270673
4,all_edges,REL,1,0.0,0.75,868,4,5,0.004608294930875576,0.03731343283582089,0.008203445447087777
4,all_edges,CO_EXP,1,0.0,0.5,532,3,3,0.005671077504725898,0.022388059701492536,0.009049773755656108
4,all_edges,CO_EXP,1,0.0,0.75,532,0,0,0.0,0.0,0.0
4,all_edges,GO_CC,1,0.0,0.5,519,19,21,0.03747534516765286,0.15671641791044777,0.060486621693322216
4,all_edges,GO_CC,1,0.0,0.75,519,9,9,0.017341040462427744,0.06716417910447761,0.027565084226646247
4,all_edges,GO_BP,1,0.0,0.5,549,15,17,0.028089887640449437,0.12686567164179105,0.045995670995671
4,all_edges,GO_BP,1,0.0,0.75,549,4,4,0.0072992700729927005,0.029850746268656716,0.011730205278592374
