PROTEIN_U,PROTEIN_V,TOPO
YPL031C,YPL219W,0.0
YGR119C,YMR308C,0.35112066567317674
YDL246C,YMR308C,0.17680146635265617
YER045C,YMR308C,0.0
YIR025W,YMR308C,0.0
YDL006W,YDR162C,0.11443935173847826
YJL084C,YOR348C,0.0
YDL064W,YER095W,0.08125213187667218
YER095W,YMR233W,0.0
YER095W,YPR011C,0.0
YJL185C,YOR127W,0.0
YDL065C,YLR071C,0.0
YPL161C,YPR165W,0.0
YKR055W,YPL161C,0.0
YFR047C,YLL046C,0.0
YGL166W,YOR210W,0.0
YFR011C,YNL113W,0.0
YDR273W,YFR052W,0.0
YER131W,YLR435W,0.0
YBR094W,YLR264W,0.36925073565545774
YBR135W,YER102W,0.0
YBL072C,YBR135W,0.0
YER102W,YFL017C,0.0
YBL072C,YFL017C,0.0
YBR211C,YDR394W,0.0
